Job_Title,Company,Location,Level,Type,Function,Industry,city,state,primary_industry,job_category,level_clean,employment_type_clean,is_remote,is_metro,is_entry,is_internship
Data Entry Officer (Production Accountant),JewelsHire,"Mumbai, Maharashtra, India",Entry level,Production,Full-time,Retail Luxury Goods and Jewelry,Mumbai,Maharashtra,Retail Luxury Goods and Jewelry,Data Entry,Entry,Production,0,1,1,0
Senior Data Scientist,Foundation AI,"Hyderabad, Telangana, India",Mid-Senior level,Engineering and Information Technology,Full-time,Software Development,Hyderabad,Telangana,Software Development,Data Scientist,Mid-Senior,Engineering and Information Technology,0,1,0,0
Data Scientist,Qualys,"Pune, Maharashtra, India",Entry level,Engineering and Information Technology,Full-time,Computer and Network Security,Pune,Maharashtra,Computer and Network Security,Data Scientist,Entry,Engineering and Information Technology,0,1,1,0
Interesting Job Opportunity: TransOrg Analytics - Data Scientist - R/Python/SQL,TransOrg Analytics,"Mumbai, Maharashtra, India",Entry level,Information Technology,Full-time,"Software Development, Technology, Information and Internet, and Technology, Information and Media",Mumbai,Maharashtra,Software Development,Data Scientist,Entry,Information Technology,0,1,1,0
"Assistant Manager – Health Safety, Security & Environment (HSSE)",TalentBox Labs,"Bengaluru, Karnataka, India",Mid-Senior level,Management and Manufacturing,Full-time,"Technology, Information and Internet",Bengaluru,Karnataka,Technology,Other,Mid-Senior,Management and Manufacturing,0,1,0,0
"Talent Account Director, LinkedIn Talent Solutions",LinkedIn,"Chennai, Tamil Nadu, India",Not Applicable,Sales,Full-time,"Technology, Information and Internet",Chennai,Tamil Nadu,Technology,Other,Not Specified,Sales,0,1,0,0
Product Manager,Curately.ai,India,Mid-Senior level,Product Management,Full-time,Software Development,Pan-India / Remote,Unknown,Software Development,Product Analyst / Manager,Mid-Senior,Product Management,0,0,0,0
Data Engineer,Lera Technologies,"Pune, Maharashtra, India",Mid-Senior level,Engineering,Full-time,"Technology, Information and Media",Pune,Maharashtra,Technology,Engineer / Developer,Mid-Senior,Engineering,0,1,0,0
Head of HR - India,Uplift People Consulting,"Delhi Cantonment, Delhi, India",Director,Human Resources,Full-time,"Technology, Information and Internet",Delhi Cantonment,Delhi,Technology,Other,Director,Human Resources,0,0,0,0
Sales Manager I,Swiggy,"Delhi, Delhi, India",Mid-Senior level,Sales and Business Development,Full-time,"Technology, Information and Internet",Delhi,Delhi,Technology,Other,Mid-Senior,Sales and Business Development,0,1,0,0
Clinical Analyst,Milliman,"Gurgaon, Haryana, India",Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Business Consulting and Services,Gurugram,Haryana,Business Consulting and Services,Other Analyst,Mid-Senior,"Research, Analyst, and Information Technology",0,1,0,0
Lead - Business Analytics & Intelligence,Zeno Health,"Bengaluru, Karnataka, India",Mid-Senior level,Analyst,Full-time,Retail,Bengaluru,Karnataka,Retail,Other,Mid-Senior,Analyst,0,1,0,0
Data Scientist,Tata Consultancy Services,"Bengaluru, Karnataka, India",Mid-Senior level,"Analyst, Information Technology, and Engineering",Full-time,"IT Services and IT Consulting, IT System Data Services, and Software Development",Bengaluru,Karnataka,IT Services and IT Consulting,Data Scientist,Mid-Senior,"Analyst, Information Technology, and Engineering",0,1,0,0
Investor Reporting Analyst,BSI Financial Services,"Gurugram, Haryana, India",Mid-Senior level,Strategy/Planning and Information Technology,Full-time,Financial Services,Gurugram,Haryana,Financial Services,Other Analyst,Mid-Senior,Strategy/Planning and Information Technology,0,1,0,0
Data Scientist,avua,India,Not Applicable,Information Technology and Engineering,Full-time,Information Services and Engineering Services,Pan-India / Remote,Unknown,Information Services and Engineering Services,Data Scientist,Not Specified,Information Technology and Engineering,0,0,0,0
Lead Generation,Super Scholar,"Mumbai, Maharashtra, India",Entry level,Sales and Business Development,Full-time,Education Administration Programs,Mumbai,Maharashtra,Education Administration Programs,Other,Entry,Sales and Business Development,0,1,1,0
Information Technology Support Specialist,AVASO Technology Solutions,"Aligarh, Uttar Pradesh, India",Associate,Information Technology,Part-time,IT Services and IT Consulting,Aligarh,Uttar Pradesh,IT Services and IT Consulting,Other,Associate,Information Technology,0,0,0,0
HR Generalist,CertifyOS,India,Mid-Senior level,Human Resources,Full-time,Internet Publishing,Pan-India / Remote,Unknown,Internet Publishing,Other,Mid-Senior,Human Resources,0,0,0,0
Head of Data Science,Tietoevry,"Bengaluru, Karnataka, India",Director,Consulting and Strategy/Planning,Full-time,IT Services and IT Consulting,Bengaluru,Karnataka,IT Services and IT Consulting,Data Scientist,Director,Consulting and Strategy/Planning,0,1,0,0
Marketing Research Specialist,Angel One,"Mumbai, Maharashtra, India",Associate,Marketing,Full-time,Financial Services,Mumbai,Maharashtra,Financial Services,Other,Associate,Marketing,0,1,0,0
Executive Assistant to CEO,Acme Services,"Mumbai, Maharashtra, India",Mid-Senior level,Administrative,Full-time,Pharmaceutical Manufacturing,Mumbai,Maharashtra,Pharmaceutical Manufacturing,Other,Mid-Senior,Administrative,0,1,0,0
"Data Analytics Administrator, Support Operations",QAD,"Mumbai, Maharashtra, India",Associate,Engineering,Full-time,Software Development,Mumbai,Maharashtra,Software Development,Other,Associate,Engineering,0,1,0,0
Intern - Problem Setter for ML,Interview Kickstart,India,Internship,Engineering,Full-time,Professional Training and Coaching,Pan-India / Remote,Unknown,Professional Training and Coaching,Other,Internship,Engineering,0,0,0,1
Process Advisor [T500-10427],FedEx ACC,"Hyderabad, Telangana, India",Mid-Senior level,Information Technology and Engineering,Full-time,"Transportation, Logistics, Supply Chain and Storage",Hyderabad,Telangana,Transportation,Other,Mid-Senior,Information Technology and Engineering,0,1,0,0
Data Analytics - Ethics & Compliance,bp,"Pune, Maharashtra, India",Associate,Information Technology,Full-time,Oil and Gas,Pune,Maharashtra,Oil and Gas,Other,Associate,Information Technology,0,1,0,0
Business Operations Specialist,Crest Data Systems,"Ahmedabad, Gujarat, India",Mid-Senior level,"Sales, Business Development, and Customer Service",Full-time,"IT Services and IT Consulting, IT System Data Services, and IT System Custom Software Development",Ahmedabad,Gujarat,IT Services and IT Consulting,Other,Mid-Senior,"Sales, Business Development, and Customer Service",0,0,0,0
Business Strategy Analyst,Menschen Consulting Pvt. Ltd.,"Aurangabad, Maharashtra, India",Associate,Consulting and Analyst,Full-time,Agricultural Chemical Manufacturing,Aurangabad,Maharashtra,Agricultural Chemical Manufacturing,Other Analyst,Associate,Consulting and Analyst,0,0,0,0
Associate Product Manager - Remote,Sprinto,"Bengaluru, Karnataka, India",Not Applicable,Product Management and Marketing,Full-time,Software Development,Bengaluru,Karnataka,Software Development,Product Analyst / Manager,Not Specified,Product Management and Marketing,0,1,0,0
Collections - Junior Manager -- Nagpur,Paytm,"Nagpur, Maharashtra, India",Not Applicable,Accounting/Auditing and Finance,Full-time,"Transportation, Logistics, Supply Chain and Storage",Nagpur,Maharashtra,Transportation,Other,Not Specified,Accounting/Auditing and Finance,0,0,0,0
Data Architect,"Tata Technologies Limited, Pune","Bangalore Urban, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Automation Machinery Manufacturing,Bengaluru,Karnataka,Automation Machinery Manufacturing,Other,Mid-Senior,Information Technology,0,1,0,0
Jr. Data & Analytics Engineer (India Remote),WCG,"Karnataka, India",Mid-Senior level,Information Technology,Full-time,Biotechnology Research and Pharmaceutical Manufacturing,Karnataka,India,Biotechnology Research and Pharmaceutical Manufacturing,Engineer / Developer,Mid-Senior,Information Technology,0,0,0,0
"Project Manager / Delivery Manager, Data & Analytics","Spruce InfoTech, Inc","Hyderabad, Telangana, India",Mid-Senior level,Project Management and Information Technology,Full-time,IT Services and IT Consulting,Hyderabad,Telangana,IT Services and IT Consulting,Other,Mid-Senior,Project Management and Information Technology,0,1,0,0
AI ML Engineer,HighPoints Technologies India (P) Ltd,"Bengaluru, Karnataka, India",Entry level,Engineering and Information Technology,Contract,Staffing and Recruiting,Bengaluru,Karnataka,Staffing and Recruiting,ML Engineer,Entry,Engineering and Information Technology,0,1,1,0
Manager of Program Innovation*,The Bail Project,"Data, Haryana, India",Entry level,Project Management and Information Technology,Full-time,Non-profit Organizations,Data,Haryana,Non-profit Organizations,Other,Entry,Project Management and Information Technology,0,0,1,0
ML Engineer_Varnita/Simran,CodersBrain,"Bengaluru, Karnataka, India",Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,Bengaluru,Karnataka,IT Services and IT Consulting,ML Engineer,Mid-Senior,Engineering and Information Technology,0,1,0,0
Research Consultant - Modeling and Meta-Analysis,OPEN Health HEOR & Market Access,"Mumbai, Maharashtra, India",Mid-Senior level,"Science, Consulting, and Analyst",Full-time,Pharmaceutical Manufacturing,Mumbai,Maharashtra,Pharmaceutical Manufacturing,Other,Mid-Senior,"Science, Consulting, and Analyst",0,1,0,0
Service Desk Analyst,YASH Technologies,"Noida, Uttar Pradesh, India",Associate,Information Technology,Full-time,IT Services and IT Consulting,Noida,Uttar Pradesh,IT Services and IT Consulting,Other Analyst,Associate,Information Technology,0,1,0,0
Data Scientist,Tata Consultancy Services,"Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting,Mumbai,Maharashtra,IT Services and IT Consulting,Data Scientist,Mid-Senior,Information Technology,0,1,0,0
Analytics Consultant,Cargill,"Bengaluru, Karnataka, India",Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,"Food and Beverage Services, Chemical Manufacturing, and Food and Beverage Manufacturing",Bengaluru,Karnataka,Food and Beverage Services,Other,Mid-Senior,"Research, Analyst, and Information Technology",0,1,0,0
Content Writer - Intern,Hevo Data,"Bengaluru, Karnataka, India",Internship,"Marketing, Research, and Writing/Editing",Internship,Software Development,Bengaluru,Karnataka,Software Development,Other,Internship,"Marketing, Research, and Writing/Editing",0,1,0,1
Strategy Associate,Levrara Consulting Group,"Mumbai, Maharashtra, India",Entry level,Finance,Full-time,"Banking, Financial Services, and Investment Banking",Mumbai,Maharashtra,Banking,Other,Entry,Finance,0,1,1,0
Performance Marketing Executive,FashionTV India,"Mumbai, Maharashtra, India",Associate,Marketing and Sales,Full-time,Broadcast Media Production and Distribution,Mumbai,Maharashtra,Broadcast Media Production and Distribution,Other,Associate,Marketing and Sales,0,1,0,0
Leadership Role - Technology/Analytics (Talent Pool),Talent Socio(We're Hiring!!),"Bangalore Urban, Karnataka, India",Mid-Senior level,Information Technology,Part-time,"Software Development and Technology, Information and Internet",Bengaluru,Karnataka,Software Development and Technology,Other,Mid-Senior,Information Technology,0,1,0,0
Front End Developer,Reveal HealthTech,"Bengaluru, Karnataka, India",Entry level,Engineering,Full-time,"Technology, Information and Internet",Bengaluru,Karnataka,Technology,Engineer / Developer,Entry,Engineering,0,1,1,0
Data Analyst,S&P Global,"Hyderabad, Telangana, India",Not Applicable,Information Technology,Full-time,Financial Services,Hyderabad,Telangana,Financial Services,Data Analyst,Not Specified,Information Technology,0,1,0,0
Experienced Data Scientist,Volvo Group,"Bengaluru, Karnataka, India",Not Applicable,"Science, Analyst, and Information Technology",Full-time,Motor Vehicle Manufacturing,Bengaluru,Karnataka,Motor Vehicle Manufacturing,Data Scientist,Not Specified,"Science, Analyst, and Information Technology",0,1,0,0
Account Executive -North America / United States,Hevo Data,"Bengaluru, Karnataka, India",Mid-Senior level,Sales,Full-time,IT Services and IT Consulting and Software Development,Bengaluru,Karnataka,IT Services and IT Consulting and Software Development,Other,Mid-Senior,Sales,0,1,0,0
Risk Analyst – Commercial Assets (RCU),Kotak Mahindra Bank,"Mumbai, Maharashtra, India",Mid-Senior level,Analyst,Full-time,Banking and Financial Services,Mumbai,Maharashtra,Banking and Financial Services,Other Analyst,Mid-Senior,Analyst,0,1,0,0
Power BI/ SQL Developer,IndusInd Bank,"Gurugram, Haryana, India",Mid-Senior level,Analyst,Full-time,Banking and Financial Services,Gurugram,Haryana,Banking and Financial Services,Engineer / Developer,Mid-Senior,Analyst,0,1,0,0
Jr. Backend Developer,Neotas,"Pune, Maharashtra, India",Entry level,Information Technology,Full-time,"Technology, Information and Media",Pune,Maharashtra,Technology,Engineer / Developer,Entry,Information Technology,0,1,1,0
HR and Placement Assistant,Growskillit,"Bengaluru, Karnataka, India",Executive,Human Resources,Full-time,Education,Bengaluru,Karnataka,Education,Other,Executive,Human Resources,0,1,0,0
Lead Data Analytics,IndiGo (InterGlobe Aviation Ltd),"Gurgaon, Haryana, India",Mid-Senior level,Information Technology,Full-time,Airlines and Aviation,Gurugram,Haryana,Airlines and Aviation,Other,Mid-Senior,Information Technology,0,1,0,0
Associate - Sales Operations,Freshworks,"Chennai, Tamil Nadu, India",Associate,Accounting/Auditing,Full-time,Software Development,Chennai,Tamil Nadu,Software Development,Other,Associate,Accounting/Auditing,0,1,0,0
Technology Data and Reporting Analyst,EY,"Gurugram, Haryana, India",Mid-Senior level,Information Technology,Full-time,Professional Services,Gurugram,Haryana,Professional Services,Other Analyst,Mid-Senior,Information Technology,0,1,0,0
Pyspark,Teralanx Solutions,"Chennai, Tamil Nadu, India",Not Applicable,Other,Full-time,Staffing and Recruiting,Chennai,Tamil Nadu,Staffing and Recruiting,Other,Not Specified,Other,0,1,0,0
TSM-Prepaid-Eluru - Vizag,airtel,"Andhra Pradesh, India",Not Applicable,Other,Full-time,Telecommunications,Andhra Pradesh,India,Telecommunications,Other,Not Specified,Other,0,0,0,0
Data Engineer,First Soft Solutions LLC,"Chennai, Tamil Nadu, India",Entry level,Information Technology,Full-time,IT Services and IT Consulting,Chennai,Tamil Nadu,IT Services and IT Consulting,Engineer / Developer,Entry,Information Technology,0,1,1,0
Data Scientist,Head Digital Works,"Hyderabad, Telangana, India",Not Applicable,Engineering and Information Technology,Full-time,"Transportation, Logistics, Supply Chain and Storage",Hyderabad,Telangana,Transportation,Data Scientist,Not Specified,Engineering and Information Technology,0,1,0,0
"Business Analyst_5+ years_ immediate hiring_ Location (Gurgaon, Pune)",EXL,"Gurugram, Haryana, India",Mid-Senior level,Analyst,Full-time,Banking,Gurugram,Haryana,Banking,Business Analyst,Mid-Senior,Analyst,0,1,0,0
Data Analyst L4,Elevate K-12,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,E-Learning Providers,Bengaluru,Karnataka,E-Learning Providers,Data Analyst,Mid-Senior,Information Technology,0,1,0,0
Analyst,Archipelago,"Delhi, India",Associate,Information Technology and Engineering,Full-time,Software Development,Delhi,India,Software Development,Other Analyst,Associate,Information Technology and Engineering,0,1,0,0
Data Specialist,Synechron,"Bengaluru, Karnataka, India",Mid-Senior level,Finance,Full-time,IT Services and IT Consulting,Bengaluru,Karnataka,IT Services and IT Consulting,Other,Mid-Senior,Finance,0,1,0,0
Sr. Data Scientist,Awign Expert,"Mumbai, Maharashtra, India",Mid-Senior level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",Mumbai,Maharashtra,Technology,Data Scientist,Mid-Senior,Engineering and Information Technology,0,1,0,0
Manager/Senior Manager - Data Science,Blend,"Hyderabad, Telangana, India",Mid-Senior level,Information Technology and Consulting,Full-time,"IT Services and IT Consulting, Software Development, and Business Consulting and Services",Hyderabad,Telangana,IT Services and IT Consulting,Data Scientist,Mid-Senior,Information Technology and Consulting,0,1,0,0
Assistant Category Manager,32nd,"Gurugram, Haryana, India",Mid-Senior level,"Sales, Strategy/Planning, and Purchasing",Full-time,"Retail Apparel and Fashion, Furniture and Home Furnishings Manufacturing, and Retail Luxury Goods and Jewelry",Gurugram,Haryana,Retail Apparel and Fashion,Other,Mid-Senior,"Sales, Strategy/Planning, and Purchasing",0,1,0,0
Python Data Scientist- Contractual,YO HR Consultancy,India,Mid-Senior level,Engineering and Information Technology,Contract,Business Consulting and Services,Pan-India / Remote,Unknown,Business Consulting and Services,Data Scientist,Mid-Senior,Engineering and Information Technology,0,0,0,0
"Technician, Data Management",Mastercard,"Navi Mumbai, Maharashtra, India",Entry level,Information Technology,Full-time,"IT Services and IT Consulting, Technology, Information and Internet, and Financial Services",Mumbai,Maharashtra,IT Services and IT Consulting,Other,Entry,Information Technology,0,1,1,0
Human Resources Analyst,Group Bayport,"Ahmedabad, Gujarat, India",Associate,Human Resources and Analyst,Full-time,IT Services and IT Consulting and Printing Services,Ahmedabad,Gujarat,IT Services and IT Consulting and Printing Services,Other Analyst,Associate,Human Resources and Analyst,0,0,0,0
MIS Executive,EngageMyTalent HR Solutions,Greater Kolkata Area,Mid-Senior level,Management,Full-time,Accounting,Greater Kolkata Area,Unknown,Accounting,Other,Mid-Senior,Management,0,0,0,0
Area Manager,Amazon,"Nagpur, Maharashtra, India",Mid-Senior level,"Management, Distribution, and Supply Chain",Full-time,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet",Nagpur,Maharashtra,IT Services and IT Consulting,Other,Mid-Senior,"Management, Distribution, and Supply Chain",0,0,0,0
Economist,People Realm Recruitment Services Private Limited,"Gurugram, Haryana, India",Associate,Research,Full-time,"Financial Services, Investment Banking, and Investment Management",Gurugram,Haryana,Financial Services,Other,Associate,Research,0,1,0,0
"Product Manager, Personalization Data Platform",Google,"Bengaluru, Karnataka, India",Not Applicable,Product Management and Engineering,Full-time,"Information Services and Technology, Information and Internet",Bengaluru,Karnataka,Information Services and Technology,Product Analyst / Manager,Not Specified,Product Management and Engineering,0,1,0,0
Analytics Manager,Jellyfish,"Mumbai, Maharashtra, India",Associate,Analyst and Advertising,Full-time,Advertising Services and Public Relations and Communications Services,Mumbai,Maharashtra,Advertising Services and Public Relations and Communications Services,Other,Associate,Analyst and Advertising,0,1,0,0
Customer Experience Manager,Tata Consultancy Services,"Bengaluru, Karnataka, India",Associate,"Information Technology, Customer Service, and Health Care Provider",Full-time,"Retail Pharmacies, Retail, and Outsourcing and Offshoring Consulting",Bengaluru,Karnataka,Retail Pharmacies,Other,Associate,"Information Technology, Customer Service, and Health Care Provider",0,1,0,0
"Principal Product Manager, Data and Analytics Platform",Opendoor,"Hyderabad, Telangana, India",Mid-Senior level,Product Management,Full-time,Real Estate,Hyderabad,Telangana,Real Estate,Product Analyst / Manager,Mid-Senior,Product Management,0,1,0,0
Python Developer,Whacked Out ® Media Pte. Ltd.,"Hyderabad, Telangana, India",Mid-Senior level,Product Management,Full-time,Artists and Writers,Hyderabad,Telangana,Artists and Writers,Engineer / Developer,Mid-Senior,Product Management,0,1,0,0
Data Analyst,TELUS International India,India,Associate,Information Technology,Full-time,IT Services and IT Consulting,Pan-India / Remote,Unknown,IT Services and IT Consulting,Data Analyst,Associate,Information Technology,0,0,0,0
Customer Success Manager - Mumbai,Seclore,"Mumbai, Maharashtra, India",Associate,Information Technology,Full-time,IT Services and IT Consulting,Mumbai,Maharashtra,IT Services and IT Consulting,Other,Associate,Information Technology,0,1,0,0
Associate-Educator Operations,Emeritus,India,Associate,Education and Other,Full-time,Higher Education,Pan-India / Remote,Unknown,Higher Education,Other,Associate,Education and Other,0,0,0,0
Senior Applied Data Scientist,Tesco Bengaluru,"Bengaluru, Karnataka, India",Not Applicable,Other,Full-time,Retail,Bengaluru,Karnataka,Retail,Data Scientist,Not Specified,Other,0,1,0,0
"Product Manager, Looker",Google,"Hyderabad, Telangana, India",Not Applicable,Product Management and Engineering,Full-time,"Information Services and Technology, Information and Internet",Hyderabad,Telangana,Information Services and Technology,Product Analyst / Manager,Not Specified,Product Management and Engineering,0,1,0,0
Medical Transcriptionist,Ecotown diagnostics Pvt Ltd,"Bangalore Urban, Karnataka, India",Executive,Customer Service,Full-time,Hospitals and Health Care,Bengaluru,Karnataka,Hospitals and Health Care,Other,Executive,Customer Service,0,1,0,0
Head - Data Science & Lending Analytics (Tier1/2),IndusInd Bank,"Gurugram, Haryana, India",Director,Analyst,Full-time,Banking,Gurugram,Haryana,Banking,Data Scientist,Director,Analyst,0,1,0,0
HR Compliance Associate,Indian School of Business,"Mohali district, Punjab, India",Associate,Human Resources,Full-time,Administrative and Support Services,Mohali district,Punjab,Administrative and Support Services,Other,Associate,Human Resources,0,0,0,0
Technology Data and Reporting Analyst,EY,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Professional Services,Bengaluru,Karnataka,Professional Services,Other Analyst,Mid-Senior,Information Technology,0,1,0,0
DATA ENGI NEER,IQuest Solutions Corporation,"Hyderabad, Telangana, India",Entry level,Information Technology,Full-time,IT Services and IT Consulting,Hyderabad,Telangana,IT Services and IT Consulting,Other,Entry,Information Technology,0,1,1,0
Operations Executive,Tipsons Group,"Ahmedabad, Gujarat, India",Entry level,Finance,Full-time,Banking and Financial Services,Ahmedabad,Gujarat,Banking and Financial Services,Other,Entry,Finance,0,0,1,0
Senior Business Analyst,"Amzur Technologies, Inc",India,Associate,"Research, Analyst, and Information Technology",Full-time,Software Development,Pan-India / Remote,Unknown,Software Development,Business Analyst,Associate,"Research, Analyst, and Information Technology",0,0,0,0
"Informatica Admin, Data Governance, Data Marketplace",LTIMindtree,"Tamil Nadu, India",Mid-Senior level,"Engineering, Business Development, and Information Technology",Full-time,"IT Services and IT Consulting, IT System Data Services, and Staffing and Recruiting",Tamil Nadu,India,IT Services and IT Consulting,Other,Mid-Senior,"Engineering, Business Development, and Information Technology",0,0,0,0
Business Intelligence Developer,GradRight Inc.,"Hyderabad, Telangana, India",Mid-Senior level,Analyst,Full-time,Higher Education,Hyderabad,Telangana,Higher Education,Engineer / Developer,Mid-Senior,Analyst,0,1,0,0
Director of Data and Machine Learning,Suki,"Bengaluru, Karnataka, India",Director,Engineering and Information Technology,Full-time,Software Development,Bengaluru,Karnataka,Software Development,ML Engineer,Director,Engineering and Information Technology,0,1,0,0
Data Visualization Consultant - SQL/Alteryx/Tableau,Zelus India,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,"Software Development, Technology, Information and Internet, and Data Infrastructure and Analytics",Bengaluru,Karnataka,Software Development,Other,Mid-Senior,Information Technology,0,1,0,0
Senior Manager Business Analysis,DRiV Incorporated,"Gurugram, Haryana, India",Mid-Senior level,Analyst and Consulting,Full-time,Automation Machinery Manufacturing,Gurugram,Haryana,Automation Machinery Manufacturing,Business Analyst,Mid-Senior,Analyst and Consulting,0,1,0,0
Consultant - Non IT (WFH),LakshHR,India,Mid-Senior level,Human Resources,Full-time,Staffing and Recruiting and Human Resources Services,Pan-India / Remote,Unknown,Staffing and Recruiting and Human Resources Services,Other,Mid-Senior,Human Resources,0,0,0,0
IT Support Analyst,Colt Data Centre Services,"Mumbai, Maharashtra, India",Associate,Engineering,Full-time,IT Services and IT Consulting and IT System Data Services,Mumbai,Maharashtra,IT Services and IT Consulting and IT System Data Services,Other Analyst,Associate,Engineering,0,1,0,0
Marketing Executive,Sid's Farm,"Bengaluru, Karnataka, India",Entry level,Marketing,Full-time,Dairy,Bengaluru,Karnataka,Dairy,Other,Entry,Marketing,0,1,1,0
Digital Marketing - Assistant Manager,NuvoRetail,"Dwarka, Delhi, India",Mid-Senior level,"Marketing, Art/Creative, and Design",Full-time,Business Consulting and Services,Dwarka,Delhi,Business Consulting and Services,Other,Mid-Senior,"Marketing, Art/Creative, and Design",0,0,0,0
Data/Business Analyst,Capstone,"Mumbai, Maharashtra, India",Associate,"General Business, Analyst, and Consulting",Full-time,"Strategic Management Services, Investment Advice, and Financial Services",Mumbai,Maharashtra,Strategic Management Services,Business Analyst,Associate,"General Business, Analyst, and Consulting",0,1,0,0
Data Analyst - CSA Operations,Guidewire Software,"Bengaluru, Karnataka, India",Associate,Information Technology,Full-time,Software Development,Bengaluru,Karnataka,Software Development,Data Analyst,Associate,Information Technology,0,1,0,0
Data Science Intern,Yum! Digital & Tech India,"Gurugram, Haryana, India",Internship,"Information Technology, Other, and Science",Internship,"IT Services and IT Consulting, Software Development, and Data Infrastructure and Analytics",Gurugram,Haryana,IT Services and IT Consulting,Data Scientist,Internship,"Information Technology, Other, and Science",0,1,0,1
Data Analyst,Alp Consulting Ltd.,"Bengaluru, Karnataka, India",Entry level,Information Technology,Full-time,Staffing and Recruiting,Bengaluru,Karnataka,Staffing and Recruiting,Data Analyst,Entry,Information Technology,0,1,1,0
"Assistant Manager, Data Analyst, Procurement",Unilever,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,"Food and Beverage Services, Food and Beverage Manufacturing, and Manufacturing",Bengaluru,Karnataka,Food and Beverage Services,Data Analyst,Mid-Senior,Information Technology,0,1,0,0
Associate Program Manager,Bhanzu,"Bengaluru, Karnataka, India",Associate,Project Management,Full-time,Education,Bengaluru,Karnataka,Education,Other,Associate,Project Management,0,1,0,0
Manager-Applied Data Scientist,Tesco Bengaluru,"Bengaluru, Karnataka, India",Not Applicable,Other,Full-time,Retail,Bengaluru,Karnataka,Retail,Data Scientist,Not Specified,Other,0,1,0,0
Analytics and Modeling Analyst,Accenture in India,"Bengaluru, Karnataka, India",Entry level,Research and Strategy/Planning,Full-time,IT Services and IT Consulting,Bengaluru,Karnataka,IT Services and IT Consulting,Other Analyst,Entry,Research and Strategy/Planning,0,1,1,0
Web Researcher,ProPlus Data,"Pune, Maharashtra, India",Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,IT Services and IT Consulting and Information Services,Pune,Maharashtra,IT Services and IT Consulting and Information Services,Other,Mid-Senior,"Marketing, Public Relations, and Writing/Editing",0,1,0,0
Associate - Data Management and Reporting (Operations),Morgan Stanley,"Mumbai, Maharashtra, India",Not Applicable,Information Technology,Full-time,"Financial Services, Investment Banking, and Investment Management",Mumbai,Maharashtra,Financial Services,Other,Not Specified,Information Technology,0,1,0,0
Associate Analyst,Wipro,"Bengaluru, Karnataka, India",Not Applicable,Business Development and Sales,Full-time,IT Services and IT Consulting,Bengaluru,Karnataka,IT Services and IT Consulting,Other Analyst,Not Specified,Business Development and Sales,0,1,0,0
Laboratory Specialist,PSI CRO AG,"Bengaluru, Karnataka, India",Associate,Research,Full-time,Pharmaceutical Manufacturing,Bengaluru,Karnataka,Pharmaceutical Manufacturing,Other,Associate,Research,0,1,0,0
Technical Lead – Data,PreludeSys,"Chennai, Tamil Nadu, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting,Chennai,Tamil Nadu,IT Services and IT Consulting,Other,Mid-Senior,Information Technology,0,1,0,0
Associate Analyst - Medicaid,IntegriChain,"Pune, Maharashtra, India",Entry level,Business Development and Sales,Full-time,Pharmaceutical Manufacturing,Pune,Maharashtra,Pharmaceutical Manufacturing,Other Analyst,Entry,Business Development and Sales,0,1,1,0
Academic Program Management Associate,MyCaptain,"Bengaluru North, Karnataka, India",Associate,Education and Training,Full-time,E-Learning Providers,Bengaluru North,Karnataka,E-Learning Providers,Other,Associate,Education and Training,0,0,0,0
Accounts Receivable (AR),Jobstania,"Mysuru, Karnataka, India",Executive,Health Care Provider,Full-time,Business Consulting and Services,Mysuru,Karnataka,Business Consulting and Services,Other,Executive,Health Care Provider,0,0,0,0
Data Consultant,Intense Technologies Limited,"Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,Accounting,Mumbai,Maharashtra,Accounting,Other,Mid-Senior,Information Technology,0,1,0,0
Offshore - Remote - Data Analyst,"Resource Informatics Group, Inc","Hyderabad, Telangana, India",Mid-Senior level,Information Technology,Contract,IT Services and IT Consulting,Hyderabad,Telangana,IT Services and IT Consulting,Data Analyst,Mid-Senior,Information Technology,0,1,0,0
NLP/ML Engineer,Acme Services,Pune/Pimpri-Chinchwad Area,Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,Pune/Pimpri-Chinchwad Area,Unknown,IT Services and IT Consulting,ML Engineer,Mid-Senior,Engineering and Information Technology,0,0,0,0
Data Scientist,Revature,"Mumbai, Maharashtra, India",Mid-Senior level,Engineering and Information Technology,Full-time,Software Development,Mumbai,Maharashtra,Software Development,Data Scientist,Mid-Senior,Engineering and Information Technology,0,1,0,0
