Job_Title,Company,Location,Level,Type,Function,Industry,city,state,primary_industry,job_category,level_clean,employment_type_clean,is_remote,is_metro,is_entry,is_internship
Data Engineer,Allica Bank,"Bangalore Urban, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Financial Services,Bengaluru,Karnataka,Financial Services,Engineer / Developer,Mid-Senior,Information Technology,0,1,0,0
Frontend Developer,Cibirix Inc.,"Indore, Madhya Pradesh, India",Entry level,Engineering and Information Technology,Full-time,Information Services,Indore,Madhya Pradesh,Information Services,Engineer / Developer,Entry,Engineering and Information Technology,0,0,1,0
Back Office Associates,Awaken Internet Marketing,"Ahmedabad, Gujarat, India",Entry level,Administrative,Full-time,IT Services and IT Consulting,Ahmedabad,Gujarat,IT Services and IT Consulting,Other,Entry,Administrative,0,0,1,0
Copywriter,Liqvd.Asia,"Mumbai, Maharashtra, India",Associate,"Marketing, Public Relations, and Writing/Editing",Full-time,Advertising Services,Mumbai,Maharashtra,Advertising Services,Other,Associate,"Marketing, Public Relations, and Writing/Editing",0,1,0,0
Social Media Marketing Specialist,Rebel Foods,"Mumbai, Maharashtra, India",Associate,Marketing and Writing/Editing,Full-time,Advertising Services,Mumbai,Maharashtra,Advertising Services,Other,Associate,Marketing and Writing/Editing,0,1,0,0
Data Architect,Changeleaders.in,Mumbai Metropolitan Region,Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,Mumbai,Unknown,IT Services and IT Consulting,Other,Mid-Senior,Engineering and Information Technology,0,1,0,0
Data Scientist,A.P. Moller - Maersk,"Pune, Maharashtra, India",Not Applicable,Engineering and Information Technology,Full-time,"Transportation, Logistics, Supply Chain and Storage",Pune,Maharashtra,Transportation,Data Scientist,Not Specified,Engineering and Information Technology,0,1,0,0
Junior/Lead_Data Scientist_NetApp,Encora Inc.,"Bengaluru, Karnataka, India",Mid-Senior level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",Bengaluru,Karnataka,Technology,Data Scientist,Mid-Senior,Engineering and Information Technology,0,1,0,0
Innovation Manager,Arthan,"Gurugram, Haryana, India",Mid-Senior level,Research,Full-time,"Non-profit Organizations and Agriculture, Construction, Mining Machinery Manufacturing",Gurugram,Haryana,Non-profit Organizations and Agriculture,Other,Mid-Senior,Research,0,1,0,0
CRM & Data Lead,CHANEL,"New Delhi, Delhi, India",Mid-Senior level,Other,Full-time,Retail and Retail Luxury Goods and Jewelry,Delhi,Delhi,Retail and Retail Luxury Goods and Jewelry,Other,Mid-Senior,Other,0,1,0,0
Data Tester (ETL),Awign Expert,"Hyderabad, Telangana, India",Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",Hyderabad,Telangana,Technology,Other,Entry,Engineering and Information Technology,0,1,1,0
Python Web Developer,Awign Expert,"Bengaluru, Karnataka, India",Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",Bengaluru,Karnataka,Technology,Engineer / Developer,Entry,Engineering and Information Technology,0,1,1,0
Data Scientist - Product,Confluent,India,Entry level,Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Software Development, and Computer Networking Products",Pan-India / Remote,Unknown,IT Services and IT Consulting,Data Scientist,Entry,Engineering and Information Technology,0,0,1,0
